hotel_ID,property_feature
"Shangri-La The Fort, Manila",Laundry service
"Shangri-La The Fort, Manila",Luggage storage
"Shangri-La The Fort, Manila",Meeting/banquet facilities
"Shangri-La The Fort, Manila",Safety deposit boxes
"Shangri-La The Fort, Manila",Salon
"Shangri-La The Fort, Manila",Smoke-free property
"Shangri-La The Fort, Manila",Smoking area
"Shangri-La The Fort, Manila",Terrace
"Shangri-La The Fort, Manila",Xerox/fax in business center
"Shangri-La The Fort, Manila",Babysitting service
"Shangri-La The Fort, Manila",Family room
"Shangri-La The Fort, Manila",Kids club
"Shangri-La The Fort, Manila",Kids meal
"Shangri-La The Fort, Manila",Playground
"Shangri-La The Fort, Manila",Golf course (within 3 km)
"Shangri-La The Fort, Manila",CCTV in common areas
"Shangri-La The Fort, Manila",CCTV outside property
"Shangri-La The Fort, Manila",Check-in/out [express]
"Shangri-La The Fort, Manila",Check-in/out [private]
"Shangri-La The Fort, Manila",Fire extinguisher
"Shangri-La The Fort, Manila",Front desk [24-hour]
"Shangri-La The Fort, Manila",Non-smoking rooms
"Shangri-La The Fort, Manila",Pets allowed
"Shangri-La The Fort, Manila",Safety/security feature
"Shangri-La The Fort, Manila",Security [24-hour]
"Shangri-La The Fort, Manila",Smoke alarms
"Shangri-La The Fort, Manila",Soundproof rooms
"Shangri-La The Fort, Manila",Airport transfer
"Shangri-La The Fort, Manila",Car park [free of charge]
"Shangri-La The Fort, Manila",Rental car
"Shangri-La The Fort, Manila",Valet parking
"Shangri-La The Fort, Manila",Cuisine: International
"Shangri-La The Fort, Manila","Menu: Buffet, A-la-carte"
"Shangri-La The Fort, Manila",Cuisine: International
"Shangri-La The Fort, Manila","Menu: Buffet, A-la-carte"
"Shangri-La The Fort, Manila",Cuisine: Chinese
"Shangri-La The Fort, Manila",Cuisine: Chinese
"Shangri-La The Fort, Manila",Cuisine: International
"Shangri-La The Fort, Manila",Cuisine: International
"Shangri-La The Fort, Manila",Cuisine: Steakhouse
"Shangri-La The Fort, Manila",Cuisine: Steakhouse
"Shangri-La The Fort, Manila",Cuisine: Peruvian
"Shangri-La The Fort, Manila",Cuisine: Peruvian
"Shangri-La The Fort, Manila",Cuisine: American
"Shangri-La The Fort, Manila",Cuisine: American
"Shangri-La The Fort, Manila",Cuisine: Seafood
"Shangri-La The Fort, Manila",Cuisine: Seafood
"Shangri-La The Fort, Manila",No additional information available
"Shangri-La The Fort, Manila",No additional information available
The Residences at BCCT,Free Wi-Fi in all rooms!
The Residences at BCCT,Internet
The Residences at BCCT,Internet services
The Residences at BCCT,Body scrub
The Residences at BCCT,Body wrap
The Residences at BCCT,Fitness center
The Residences at BCCT,Golf course [on-site]
The Residences at BCCT,Light therapy
The Residences at BCCT,On-site entertainment
